Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, and COVID-19 Deaths",Footnote
5/1/2020,2/1/2020,4/25/2020,United States,Male,45-54 years,1388,23460,1627,575,303,2681,
5/1/2020,2/1/2020,4/25/2020,United States,Male,55-64 years,3149,55646,4726,1379,619,6983,
5/1/2020,2/1/2020,4/25/2020,United States,Male,65-74 years,5066,81983,7952,2236,704,11357,
5/1/2020,2/1/2020,4/25/2020,United States,Male,75-84 years,5810,92436,9855,2657,649,13562,
5/1/2020,2/1/2020,4/25/2020,United States,Male,85 years and over,4948,88125,9301,2330,490,12347,
5/1/2020,2/1/2020,4/25/2020,United States,Male Total,"Male, all ages",21099,371502,34540,9484,3003,48650,
5/1/2020,2/1/2020,4/25/2020,United States,Female,Under 1 year,2,1682,12,0,6,20,
5/1/2020,2/1/2020,4/25/2020,United States,Female,1-4 years,1,319,15,1,14,29,
5/1/2020,2/1/2020,4/25/2020,United States,Female,5-14 years,0,449,20,0,24,44,
5/1/2020,2/1/2020,4/25/2020,United States,Female,15-24 years,14,1679,49,5,19,77,
5/1/2020,2/1/2020,4/25/2020,United States,Female,25-34 years,85,4146,174,28,62,289,
5/1/2020,2/1/2020,4/25/2020,United States,Female,35-44 years,196,6839,382,73,95,594,
5/1/2020,2/1/2020,4/25/2020,United States,Female,45-54 years,541,14438,1048,217,210,1554,
5/1/2020,2/1/2020,4/25/2020,United States,Female,55-64 years,1539,35500,3094,686,464,4353,
5/1/2020,2/1/2020,4/25/2020,United States,Female,65-74 years,2935,59570,5456,1308,570,7581,
5/1/2020,2/1/2020,4/25/2020,United States,Female,75-84 years,4386,85478,7949,1991,659,10938,
5/1/2020,2/1/2020,4/25/2020,United States,Female,85 years and over,6509,137811,11642,2770,720,16035,
5/1/2020,2/1/2020,4/25/2020,United States,Female Total,"Female, all ages",16208,347911,29841,7079,2843,41514,
5/1/2020,2/1/2020,4/25/2020,United States,Unknown,All ages,1,25,1,1,0,1,
5/1/2020,2/1/2020,4/25/2020,United States Total,All sexes,All Ages,37308,719438,64382,16564,5846,90165,
5/1/2020,2/1/2020,4/25/2020,Alabama,Male,Under 1 year,0,38,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alabama,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alabama,Male,5-14 years,0,15,0,0,0,0,
5/1/2020,2/1/2020,4/25/2020,Alabama,Male,15-24 years,0,86,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alabama,Male,25-34 years,,151,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alabama,Male,35-44 years,,235,14,,,15,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alabama,Male,45-54 years,10,471,21,,,34,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alabama,Male,55-64 years,14,1101,75,,15,101,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alabama,Male,65-74 years,26,1546,109,,13,141,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alabama,Male,75-84 years,24,1604,128,,,152,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alabama,Male,85 years and over,20,1171,78,10,,94,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alabama,Male Total,"Male, all ages",97,6425,431,30,50,548,
5/1/2020,2/1/2020,4/25/2020,Alabama,Female,Under 1 year,0,29,0,0,0,0,
5/1/2020,2/1/2020,4/25/2020,Alabama,Female,1-4 years,0,11,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alabama,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alabama,Female,15-24 years,0,36,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alabama,Female,25-34 years,0,70,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alabama,Female,35-44 years,,136,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alabama,Female,45-54 years,,322,18,0,,25,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alabama,Female,55-64 years,11,745,62,,,80,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alabama,Female,65-74 years,14,1162,58,,10,78,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alabama,Female,75-84 years,14,1555,98,,,113,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alabama,Female,85 years and over,11,1928,96,,,106,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alabama,Female Total,"Female, all ages",55,6001,338,12,33,414,
5/1/2020,2/1/2020,4/25/2020,Alabama,Unknown,All ages,0,0,0,0,0,0,
5/1/2020,2/1/2020,4/25/2020,Alabama Total,All sexes,All Ages,152,12426,769,42,83,962,
5/1/2020,2/1/2020,4/25/2020,Alaska,Male,Under 1 year,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alaska,Male,1-4 years,0,0,0,0,0,0,
5/1/2020,2/1/2020,4/25/2020,Alaska,Male,5-14 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alaska,Male,15-24 years,0,16,0,0,0,0,
5/1/2020,2/1/2020,4/25/2020,Alaska,Male,25-34 years,0,21,0,0,0,0,
5/1/2020,2/1/2020,4/25/2020,Alaska,Male,35-44 years,0,21,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alaska,Male,45-54 years,0,38,0,0,0,0,
5/1/2020,2/1/2020,4/25/2020,Alaska,Male,55-64 years,0,78,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alaska,Male,65-74 years,,112,,,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alaska,Male,75-84 years,0,129,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alaska,Male,85 years and over,0,71,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alaska,Male Total,"Male, all ages",,496,24,,,27,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alaska,Female,Under 1 year,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alaska,Female,1-4 years,0,,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alaska,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alaska,Female,15-24 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alaska,Female,25-34 years,0,10,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alaska,Female,35-44 years,0,21,0,0,0,0,
5/1/2020,2/1/2020,4/25/2020,Alaska,Female,45-54 years,0,17,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alaska,Female,55-64 years,,58,,,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alaska,Female,65-74 years,0,79,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alaska,Female,75-84 years,0,78,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alaska,Female,85 years and over,0,88,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alaska,Female Total,"Female, all ages",,360,17,,,20,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Alaska,Unknown,All ages,0,0,0,0,0,0,
5/1/2020,2/1/2020,4/25/2020,Alaska Total,All sexes,All Ages,,856,41,,,47,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arizona,Male,Under 1 year,0,44,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arizona,Male,1-4 years,0,13,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arizona,Male,5-14 years,0,18,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arizona,Male,15-24 years,0,185,0,0,0,0,
5/1/2020,2/1/2020,4/25/2020,Arizona,Male,25-34 years,,255,,,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arizona,Male,35-44 years,,298,10,,,12,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arizona,Male,45-54 years,,513,22,,,29,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arizona,Male,55-64 years,18,1165,82,14,13,99,
5/1/2020,2/1/2020,4/25/2020,Arizona,Male,65-74 years,26,1813,136,13,14,163,
5/1/2020,2/1/2020,4/25/2020,Arizona,Male,75-84 years,32,2263,190,21,12,213,
5/1/2020,2/1/2020,4/25/2020,Arizona,Male,85 years and over,28,1942,152,14,10,176,
5/1/2020,2/1/2020,4/25/2020,Arizona,Male Total,"Male, all ages",112,8509,597,67,60,702,
5/1/2020,2/1/2020,4/25/2020,Arizona,Female,Under 1 year,0,50,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arizona,Female,1-4 years,0,13,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arizona,Female,5-14 years,0,12,0,0,0,0,
5/1/2020,2/1/2020,4/25/2020,Arizona,Female,15-24 years,0,50,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arizona,Female,25-34 years,0,113,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arizona,Female,35-44 years,,159,,,,12,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arizona,Female,45-54 years,,280,20,,,28,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arizona,Female,55-64 years,11,763,69,,,83,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arizona,Female,65-74 years,14,1337,102,,13,123,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arizona,Female,75-84 years,25,1972,144,11,,167,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arizona,Female,85 years and over,25,2601,163,,,185,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arizona,Female Total,"Female, all ages",82,7350,518,35,45,610,
5/1/2020,2/1/2020,4/25/2020,Arizona,Unknown,All ages,0,0,0,0,0,0,
5/1/2020,2/1/2020,4/25/2020,Arizona Total,All sexes,All Ages,194,15859,1115,102,105,1312,
5/1/2020,2/1/2020,4/25/2020,Arkansas,Male,Under 1 year,0,30,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arkansas,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arkansas,Male,5-14 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arkansas,Male,15-24 years,0,53,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arkansas,Male,25-34 years,,99,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arkansas,Male,35-44 years,0,150,11,0,,14,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arkansas,Male,45-54 years,,277,12,0,,16,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arkansas,Male,55-64 years,,684,47,,,57,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arkansas,Male,65-74 years,,960,65,,10,76,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arkansas,Male,75-84 years,10,1057,78,,,91,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arkansas,Male,85 years and over,,754,75,0,,79,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arkansas,Male Total,"Male, all ages",21,4080,293,,35,341,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arkansas,Female,Under 1 year,0,20,0,0,0,0,
5/1/2020,2/1/2020,4/25/2020,Arkansas,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arkansas,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arkansas,Female,15-24 years,0,20,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arkansas,Female,25-34 years,0,58,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arkansas,Female,35-44 years,,93,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arkansas,Female,45-54 years,0,200,14,0,,17,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arkansas,Female,55-64 years,,436,35,,,42,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arkansas,Female,65-74 years,,715,42,0,,54,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arkansas,Female,75-84 years,0,981,58,0,,63,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arkansas,Female,85 years and over,,1258,76,0,,88,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arkansas,Female Total,"Female, all ages",11,3792,234,,32,275,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Arkansas,Unknown,All ages,0,0,0,0,0,0,
5/1/2020,2/1/2020,4/25/2020,Arkansas Total,All sexes,All Ages,32,7872,527,10,67,616,
5/1/2020,2/1/2020,4/25/2020,California,Male,Under 1 year,0,215,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,California,Male,1-4 years,0,43,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,California,Male,5-14 years,0,62,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,California,Male,15-24 years,0,542,15,0,,16,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,California,Male,25-34 years,11,1038,28,,,41,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,California,Male,35-44 years,24,1286,71,12,10,93,
5/1/2020,2/1/2020,4/25/2020,California,Male,45-54 years,58,2359,150,29,33,212,
5/1/2020,2/1/2020,4/25/2020,California,Male,55-64 years,103,5316,406,59,67,517,
5/1/2020,2/1/2020,4/25/2020,California,Male,65-74 years,164,7596,710,94,56,836,
5/1/2020,2/1/2020,4/25/2020,California,Male,75-84 years,202,8631,925,123,56,1060,
5/1/2020,2/1/2020,4/25/2020,California,Male,85 years and over,161,9581,961,86,50,1086,
5/1/2020,2/1/2020,4/25/2020,California,Male Total,"Male, all ages",723,36669,3274,409,288,3876,
5/1/2020,2/1/2020,4/25/2020,California,Female,Under 1 year,0,179,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,California,Female,1-4 years,0,27,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,California,Female,5-14 years,0,46,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,California,Female,15-24 years,,178,,,,13,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,California,Female,25-34 years,,386,15,0,,24,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,California,Female,35-44 years,13,636,41,,,57,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,California,Female,45-54 years,22,1351,88,13,20,117,
5/1/2020,2/1/2020,4/25/2020,California,Female,55-64 years,35,3219,253,18,46,316,
5/1/2020,2/1/2020,4/25/2020,California,Female,65-74 years,77,5274,451,48,47,527,
5/1/2020,2/1/2020,4/25/2020,California,Female,75-84 years,127,7906,696,82,69,810,
5/1/2020,2/1/2020,4/25/2020,California,Female,85 years and over,223,13849,1195,137,62,1343,
5/1/2020,2/1/2020,4/25/2020,California,Female Total,"Female, all ages",501,33051,2755,305,264,3215,
5/1/2020,2/1/2020,4/25/2020,California,Unknown,All ages,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,California Total,All sexes,All Ages,1224,69721,6029,714,552,7091,
5/1/2020,2/1/2020,4/25/2020,Colorado,Male,Under 1 year,,45,0,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Colorado,Male,1-4 years,0,,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Colorado,Male,5-14 years,0,15,0,0,0,0,
5/1/2020,2/1/2020,4/25/2020,Colorado,Male,15-24 years,,100,,,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Colorado,Male,25-34 years,,201,,,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Colorado,Male,35-44 years,,262,12,,,18,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Colorado,Male,45-54 years,15,374,23,10,,34,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Colorado,Male,55-64 years,28,839,71,16,10,93,
5/1/2020,2/1/2020,4/25/2020,Colorado,Male,65-74 years,59,1214,136,38,,166,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Colorado,Male,75-84 years,97,1330,155,67,,189,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Colorado,Male,85 years and over,99,1311,133,59,10,181,
5/1/2020,2/1/2020,4/25/2020,Colorado,Male Total,"Male, all ages",308,5696,536,195,45,692,
5/1/2020,2/1/2020,4/25/2020,Colorado,Female,Under 1 year,,41,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Colorado,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Colorado,Female,5-14 years,0,,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Colorado,Female,15-24 years,,43,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Colorado,Female,25-34 years,0,84,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Colorado,Female,35-44 years,,114,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Colorado,Female,45-54 years,,226,14,,,20,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Colorado,Female,55-64 years,11,525,37,,11,52,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Colorado,Female,65-74 years,47,855,75,26,,103,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Colorado,Female,75-84 years,69,1186,120,35,,159,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Colorado,Female,85 years and over,109,2067,180,64,13,238,
5/1/2020,2/1/2020,4/25/2020,Colorado,Female Total,"Female, all ages",243,5150,436,133,46,589,
5/1/2020,2/1/2020,4/25/2020,Colorado,Unknown,All ages,0,0,0,0,0,0,
5/1/2020,2/1/2020,4/25/2020,Colorado Total,All sexes,All Ages,551,10846,972,328,91,1281,
5/1/2020,2/1/2020,4/25/2020,Connecticut,Male,Under 1 year,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Connecticut,Male,1-4 years,0,0,0,0,0,0,
5/1/2020,2/1/2020,4/25/2020,Connecticut,Male,5-14 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Connecticut,Male,15-24 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Connecticut,Male,25-34 years,0,15,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Connecticut,Male,35-44 years,,24,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
5/1/2020,2/1/2020,4/25/2020,Connecticut,Male,45-54 years,,30,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
