County,Plan Name,Roster Enrollment,Roster Enrollment,Roster Enrollment,Enrollment,,,
,United Healthcare Plan of NY,96,51,131,2483,2761,,
,Wellcare of New York,116,55,152,1889,2212,,
Orleans,TOTALS:,804,370,425,5785,7384,,
Mandatory,Excellus Health Plan,268,122,147,1710,2247,,
Eff.June2003,Fidelis Care,411,175,173,3122,3881,,
,HealthNow,98,59,98,629,884,,
,United Healthcare Plan of NY,27,14,7,324,372,,
Oswego,TOTALS:,2438,843,1630,18773,23684,,
Mandatory,Fidelis Care,1928,646,1218,14686,18478,,
Eff.Apr1999,United Healthcare Plan of NY,510,197,412,4087,5206,,
Otsego,TOTALS:,368,96,462,7647,8573,,
Mandatory,Excellus Health Plan,140,29,217,2987,3373,,
Eff.May2007,Fidelis Care,228,67,245,4660,5200,,
Putnam,TOTALS:,143,33,293,8241,8710,,
Mandatory,Fidelis Care,121,27,222,6275,6645,,
Eff.Mar2007,HealthPlus,14,3,42,1145,1204,,
,MVP Health Plan,8,3,29,821,861,,
Rensselaer,TOTALS:,2781,811,1919,18192,23703,,
Mandatory,Capital District Physicians Health Plan,1746,523,1276,10679,14224,,
Eff.Oct1997,Fidelis Care,802,229,477,5573,7081,,
,MVP Health Plan,103,27,53,1133,1316,,
,United Healthcare Plan of NY,75,19,42,348,484,,
,Wellcare of New York,55,13,71,459,598,,
Rockland,TOTALS:,1516,643,1878,85037,89074,,
Mandatory,Affinity Health Plan,132,70,186,3542,3930,,
Eff.Mar2001,Fidelis Care,934,421,1121,68001,70477,,
,MVP Health Plan,353,95,394,9596,10438,,
,United Healthcare Plan of NY,70,41,95,2737,2943,,
,Wellcare of New York,27,16,82,1161,1286,,
St. Lawrence,TOTALS:,1388,661,1374,13928,17351,,
Mandatory,Fidelis Care,1066,460,999,10780,13305,,
Eff.Oct2012,United Healthcare Plan of NY,322,201,375,3148,4046,,
Saratoga,TOTALS:,623,186,1271,20323,22403,,
Mandatory,Capital District Physicians Health Plan,393,92,783,9421,10689,,
Eff.Oct1997,Fidelis Care,200,85,435,9057,9777,,
,MVP Health Plan,30,9,53,1845,1937,,
Schenectady,TOTALS:,2672,1047,2331,25006,31056,,
Mandatory,Capital District Physicians Health Plan,1084,419,1112,9018,11633,,
Eff.Apr2007,Fidelis Care,1378,540,1063,13088,16069,,
,MVP Health Plan,147,51,89,2205,2492,,
,United Healthcare Plan of NY,39,15,39,341,434,,
,Wellcare of New York,24,22,28,354,428,,
Schoharie,TOTALS:,243,57,214,4289,4803,,
Mandatory,Capital District Physicians Health Plan,153,34,114,2387,2688,,
Eff.Oct2010,Fidelis Care,90,23,100,1902,2115,,
Schuyler,TOTALS:,200,79,162,2560,3001,,
Mandatory,Fidelis Care,198,77,156,2515,2946,,
Eff.May2012,Wellcare of New York,2,2,6,45,55,,
Seneca,TOTALS:,297,108,317,4367,5089,,
Mandatory,Excellus Health Plan,214,67,256,2931,3468,,
Eff.Jan2007,Fidelis Care,61,20,41,1103,1225,,
,United Healthcare Plan of NY,22,21,20,333,396,,
Steuben,TOTALS:,995,450,1276,13625,16346,,
Mandatory,Fidelis Care,978,434,1221,13362,15995,,
Eff.May2012,Wellcare of New York,17,16,55,263,351,,
Suffolk,TOTALS:,7466,3760,9623,190595,211444,,
Mandatory,Affinity Health Plan,751,344,977,21379,23451,,
Eff.June2001,Fidelis Care,1706,889,2467,48333,53395,,
,HealthFirst PHSP,2618,1310,2707,58090,64725,,
,HIP of Greater New York,642,408,1163,13690,15903,,
,United Healthcare Plan of NY,1706,775,2272,48168,52921,,
,Wellcare of New York,43,34,37,935,1049,,
Sullivan,TOTALS:,880,343,1047,16370,18640,,
Mandatory,Fidelis Care,299,118,342,7753,8512,,
Eff.Apr2007,HealthFirst PHSP,22,13,20,490,545,,
,MVP Health Plan,559,212,685,8127,9583,,
Tioga,TOTALS:,456,128,451,6427,7462,,
Mandatory,Capital District Physicians Health Plan,87,16,84,1055,1242,,
Eff.Jun2012,Fidelis Care,333,105,328,4854,5620,,
,Molina Healthcare,2,1,2,13,18,,
,United Healthcare Plan of NY,34,6,37,505,582,,
Tompkins,TOTALS:,996,420,493,8633,10542,,
Mandatory,Fidelis Care,548,259,253,6136,7196,,
Eff.Oct2010,Molina Healthcare,448,161,240,2497,3346,,
Ulster,TOTALS:,1339,566,1728,24868,28501,,
Mandatory,Fidelis Care,659,239,646,11930,13474,,
Eff.Mar2007,MVP Health Plan,535,261,820,10654,12270,,
,United Healthcare Plan of NY,28,21,68,1088,1205,,
,Wellcare of New York,117,45,194,1196,1552,,
Warren,TOTALS:,464,123,592,8530,9709,,
Mandatory,Capital District Physicians Health Plan,40,16,32,751,839,,
Eff.Oct2012,Fidelis Care,384,91,490,6796,7761,,
,MVP Health Plan,26,5,45,658,734,,
,United Healthcare Plan of NY,14,11,25,325,375,,
Washington,TOTALS:,588,151,734,9262,10735,,
Mandatory,Capital District Physicians Health Plan,162,34,235,2450,2881,,
Eff.Mar2007,Fidelis Care,412,105,475,6343,7335,,
,MVP Health Plan,14,12,24,469,519,,
Wayne,TOTALS:,759,247,874,12744,14624,,
Mandatory,Excellus Health Plan,627,186,730,9979,11522,,
Eff.Oct2010,Fidelis Care,107,53,125,2207,2492,,
,United Healthcare Plan of NY,25,8,19,558,610,,
Westchester,TOTALS:,6221,3461,6649,118907,135238,,
Mandatory,Affinity Health Plan,955,587,928,14334,16804,,
Eff.Oct1999,Fidelis Care,1813,956,2069,39780,44618,,
,HealthFirst PHSP,95,72,149,3301,3617,,
,HIP of Greater New York,341,162,580,6487,7570,,
,MVP Health Plan,2720,1527,2496,47813,54556,,
,United Healthcare Plan of NY,297,155,426,7189,8067,,
,VNS Choice SN,,2,1,3,6,,
Wyoming,TOTALS:,189,79,171,4589,5028,,
Mandatory,Fidelis Care,102,42,89,2952,3185,,
Eff.Jul2012,HealthNow,69,32,76,1226,1403,,
,United Healthcare Plan of NY,5,4,4,200,213,,
,YourCare Health Plan,13,1,2,211,227,,
Yates,TOTALS:,192,41,187,3267,3687,,
Mandatory,Excellus Health Plan,144,22,158,2222,2546,,
Eff.Feb2007,Fidelis Care,41,17,27,998,1083,,
,United Healthcare Plan of NY,7,2,2,47,58,,
UpstateTotal,,236180,100342,213396,3030742,3580660,,
NYC,Affinity Health Plan,19800,14505,7369,79297,120971,,
Mandatory,Amida Care SN,228,3766,2419,811,7224,,
,Fidelis Care,78639,39301,23449,309464,450853,,
Fully,HealthFirst PHSP,153710,80044,53594,538862,826210,,
Implemented:,HealthPlus,68932,25056,14600,174448,283036,,
Sep-02,HIP of Greater New York,19889,12587,7144,45989,85609,,
,MetroPlus Health Plan SN,72756,31493,16888,230769,351906,,
,MetroPlus Health Plan ,315,1804,1403,410,3932,,
,United Healthcare Plan of NY,43863,15424,7973,122253,189513,,
,VNS Choice SN,131,1308,1416,70,2925,,
,Wellcare of New York,7057,5261,3204,57984,73506,,
,NYC Total,465320,230549,139459,1560357,2395685,,
,,,,,,,,
,UPSTATE TOTALS:,118090,50171,106698,1515371,1790330,,
,NEW YORK CITY TOTALS:,465320,230549,139459,1560357,2395685,,
,STATE TOTALS:,583410,280720,246157,3075728,4186015,,
Bronx,TOTALS:,110926,77707,43552,340390,572575,,
Kings,TOTALS:,186786,72764,40813,521298,821661,,
Manhattan,TOTALS:,42943,32069,20212,166405,261629,,
Queens,TOTALS:,104684,38809,28412,469141,641046,,
Richmond,TOTALS:,19981,9200,6470,63123,98774,,
New York,TOTALS:,465320,230549,139459,1560357,2395685,,
NOTES:,"(1) The source of plan enrollment counts was revised in July, 2003 to be based on the primary and secondary roster reports.  In September 2014 NYSoH Medicaid enrollment was added to the report. The source of this data is Medicaid Data Warehouse. The report reflects enrollees as of the first of the month.",,,,,,,
