"County","Sample Size","Est. Count","Est. Denominator","Crude Rate","CL 95% Lower, Crude","CL 95% Upper, Crude","Age-adjusted Rate","CL 95% Lower, Age-adjusted","CL 95% Upper, Age-adjusted","Notes","Health Domain","Health Indicator","Prevention Agenda (PA)","PA Rate Type","SHIP","SHIP Rate Type","DSRIP","DSRIP Rate Type","CHIRS","CHIRS Rate Type","FIPS","Health Indicator Sort Key","DSRIP Region Sort Key","Upstate/Downstate Sort Key","County Sort Key","Location"
"Suffolk",588,85560,1168721,7.3,4.5,10.1,6.8,4.1,9.5,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,103,67,101,NA,52,"(40.820237, -73.119032)"
"Allegany",490,2887,37525,7.7,5.2,10.2,7.4,4.8,9.9,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,3,67,111,NA,2,"(42.226801, -78.020567)"
"Wayne",573,7651,71132,10.8,7.8,13.7,9,6.5,11.5,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,117,67,110,NA,59,"(43.144336, -77.117995)"
"Richmond",529,19157,369359,5.2,2.9,7.5,4.7,2.6,6.8,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,85,67,102,NA,43,"(40.5795, -74.1502)"
"Genesee",511,3275,46659,7,4.7,9.3,6.1,3.9,8.4,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,37,67,111,NA,19,"(43.000121, -78.172679)"
"Bronx",688,44465,1098623,4,2.3,5.8,4.2,2.4,5.9,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,5,67,102,NA,3,"(40.8448, -73.8648)"
"Niagara",420,13165,169189,7.8,5.2,10.4,6.2,4.3,8.1,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,63,67,111,NA,32,"(43.134634, -78.856419)"
"Livingston",398,4321,52971,8.2,4.3,12,9.2,4.5,13.8,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,51,67,110,NA,26,"(42.763754, -77.765392)"
"Delaware",423,2639,37272,7.1,4.2,10,5.7,2.9,8.4,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,25,67,109,NA,13,"(42.242972, -74.997944)"
"Westchester",669,33452,764514,4.4,2.6,6.2,3.8,2.2,5.4,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,119,67,103,NA,60,"(41.039278, -73.805386)"
"Herkimer",450,5593,49482,11.3,7.4,15.2,12.5,7.2,17.9,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,43,67,105,NA,22,"(43.070026, -74.994246)"
"Madison",360,4698,57281,8.2,4.8,11.6,7.4,4.1,10.7,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,53,67,108,NA,27,"(42.986917, -75.720031)"
"Otsego",476,3919,50015,7.8,4.6,11,6.7,3.9,9.6,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,77,67,105,NA,39,"(42.564852, -75.060334)"
"Wyoming",426,2654,32688,8.1,4.9,11.3,7.5,4.3,10.8,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,121,67,111,NA,61,"(42.723641, -78.204473)"
"Chautauqua",1037,9316,102439,9.1,6.6,11.6,7.5,5.6,9.4,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,13,67,111,NA,7,"(42.246904, -79.315313)"
"Ontario",508,6940,87693,7.9,4.6,11.3,7,3.7,10.4,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,69,67,110,NA,35,"(42.894571, -77.252045)"
"Franklin",468,3372,39742,8.5,5.6,11.3,7.7,5.1,10.4,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,33,67,106,NA,17,"(44.705699, -74.340621)"
"Orleans",382,2797,33047,8.5,5.2,11.8,8.1,4.2,11.9,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,73,67,111,NA,37,"(43.248394, -78.218438)"
"Tioga",427,2678,38360,7,4.3,9.7,5.2,3.3,7.2,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,107,67,109,NA,54,"(42.120252, -76.29595)"
"Rockland",541,7979,239636,3.3,1.5,5.2,3.1,1.4,4.9,"unreliable crude rate due to large standard error","Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,87,67,103,NA,44,"(41.127287, -74.017033)"
"Lewis",320,734,20569,3.6,1.9,5.3,3.2,1.4,5.1,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,49,67,107,NA,25,"(43.785537, -75.446296)"
"Nassau",594,31489,1073370,2.9,1.5,4.4,2.7,1.2,4.3,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,59,67,101,NA,30,"(40.715749, -73.601185)"
"Seneca",471,2151,27755,7.8,4.4,11.1,6.7,3.9,9.5,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,99,67,110,NA,50,"(42.833627, -76.82753)"
"Chemung",486,7142,66467,10.7,7.5,14,9.5,6.6,12.4,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,15,67,110,NA,8,"(42.116644, -76.812331)"
"Orange",630,14087,283013,5,3.1,6.9,4.4,2.8,6.1,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,71,67,103,NA,36,"(41.422459, -74.241929)"
"Sullivan",481,5333,57974,9.2,5.6,12.8,8.8,4.7,12.9,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,105,67,103,NA,53,"(41.705166, -74.711705)"
"Schenectady",464,9693,120798,8,5.3,10.8,7.2,4.5,9.8,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,93,67,104,NA,47,"(42.809233, -73.946838)"
"Clinton",661,5809,66130,8.8,6.1,11.4,7.8,5.4,10.3,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,19,67,106,NA,10,"(44.731944, -73.548883)"
"Hamilton",365,375,4007,9.4,5.3,13.4,6.5,3,9.9,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,41,67,106,NA,21,"(43.618468, -74.395268)"
"Montgomery",382,3527,38400,9.2,5.9,12.4,7.4,4.9,9.9,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,57,67,105,NA,29,"(42.933637, -74.341972)"
"Rensselaer",486,7672,128394,6,3.5,8.5,5.5,3.2,7.8,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,83,67,104,NA,42,"(42.70098, -73.628669)"
"Ulster",533,12805,146796,8.7,5.6,11.8,7.5,4.5,10.5,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,111,67,103,NA,56,"(41.848374, -74.099412)"
"Cayuga",595,4531,62172,7.3,4.9,9.7,6.7,4.5,8.9,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,11,67,108,NA,6,"(42.940095, -76.560755)"
"Saratoga",821,10180,181385,5.6,3.8,7.5,4.6,3.2,6.1,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,91,67,104,NA,46,"(43.00894, -73.786779)"
"Tompkins",452,3696,88826,4.2,2.3,6.1,4.7,2.6,6.7,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,109,67,109,NA,55,"(42.461024, -76.478784)"
"Broome",478,13332,157161,8.5,5.5,11.5,7.8,4.9,10.6,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,7,67,109,NA,4,"(42.122015, -75.933191)"
"Monroe",742,28389,591203,4.8,3,6.6,4.6,2.7,6.4,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,55,67,110,NA,28,"(43.161748, -77.620143)"
"Essex",456,2586,31540,8.2,4.6,11.8,7.5,3.5,11.5,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,31,67,106,NA,16,"(44.166026, -73.685145)"
"Dutchess",602,11428,237468,4.8,2.8,6.8,4.1,2.4,5.8,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,27,67,103,NA,14,"(41.686216, -73.840468)"
"Kings",1213,79284,2028266,3.9,2.7,5.1,3.8,2.6,5,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,47,67,102,NA,24,"(40.6782, -73.9442)"
"Queens",934,68655,1876865,3.7,2.3,5,3.5,2.1,4.8,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,81,67,102,NA,41,"(40.7282, -73.7949)"
"New York",1037,50339,1397738,3.6,2.2,5,3.4,2.1,4.7,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,61,67,102,NA,31,"(40.7128, -74.006)"
"Schoharie",389,2067,25121,8.2,5,11.5,6.5,4.1,9,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,95,67,105,NA,48,"(42.643426, -74.434606)"
"Fulton",506,3494,42724,8.2,5.2,11.2,7.6,4.1,11.2,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,35,67,105,NA,18,"(43.06014, -74.331296)"
"Onondaga",834,22078,365540,6,4.3,7.7,5.3,3.8,6.7,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,67,67,108,NA,34,"(43.065629, -76.168033)"
"Albany",728,15964,250735,6.4,3.9,8.8,6.7,3.9,9.4,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,1,67,104,NA,1,"(42.678066, -73.814233)"
"Chenango",437,3453,38234,9,5.4,12.7,8.6,4.5,12.8,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,17,67,109,NA,9,"(42.481798, -75.570013)"
"Cattaraugus",620,6981,59956,11.6,8.3,14.9,10,7,13,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,9,67,111,NA,5,"(42.224267, -78.606673)"
"Jefferson",474,6355,87030,7.3,4.2,10.4,7.6,4.6,10.5,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,45,67,107,NA,23,"(44.019295, -75.898971)"
"St. Lawrence",463,10860,87753,12.4,8.2,16.6,12.6,7.8,17.3,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,89,67,107,NA,45,NA
"Washington",564,3516,49894,7,4.5,9.6,5.9,3.7,8.2,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,115,67,106,NA,58,"(43.289513, -73.454761)"
"Oneida",549,17024,180759,9.4,6.2,12.6,7.4,5,9.8,NA,"Prevent Chronic Diseases","Percentage of adults with COPD","no",NA,"no",NA,"no",NA,"no",NA,65,67,108,NA,33,"(43.149482, -75.361773)"
